indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2019-06-01,54474.76114982001,23826.790796439604,54474761.14982,53653057.78816,821703.3616599999,54474761.14982,18011296.55568,15549986.021399999,19228176.624769997,1685301.94797,54474761.14982,37875379.95911,5601346.531849999,15309681.48277,2071797.7618,6696322.049680001,6015487.608929998,1590606.9258399997,590137.59824,8047727.54924,1826746.7113700002,2810683.0828700005,3914223.8472300004
2019-07-01,55084.572531649515,23594.86261404206,55084572.53165,54161431.89869,923140.6329600001,55084572.53165,18558314.67688001,15640223.96835,19195058.051500004,1690975.8349200003,55084572.53165,38166239.7716695,5611308.245169999,15593079.78819,2119053.3902300005,6664060.291250001,5899199.003274,1695724.8966855004,583814.1568700002,7867781.457599999,1715793.1016499999,3030760.2210199996,4303997.979710001
2019-08-01,59739.22482470602,24354.362735070565,59739224.82471001,58715046.846350014,1024177.9783600001,59739224.82471001,19762562.259740006,16091576.002399996,21784281.711449984,2100804.8511199993,59739224.82471001,41753877.624496005,6068038.83279,17114860.894710004,2204638.3275900004,7410460.66703,6435492.710175998,1902923.6983099997,617462.4938899998,8631599.22359,1208097.6759300001,3073567.9513399997,5072082.349350003
2019-09-01,57945.25252705599,22165.951689359394,57945252.52705999,56947776.30026998,997476.22679,57945252.52705999,19576764.547619984,15914166.59968,20615192.653629992,1839128.7261300003,57945252.52705999,41144059.600986004,6371058.618659998,16418055.485890001,2191641.9592600004,7235193.902920001,6374217.0812059995,1948295.75691,605596.7961400001,8901051.039360002,1202878.61775,2719800.95723,3977462.311729999
2019-10-01,66390.40935552819,24675.347948118644,66390409.35553,65209757.877280004,1180651.47825,66390409.35553,21900724.560991004,17796618.14014929,24434836.946528,2258229.7078618007,66390409.35553,45550492.27184827,7473890.647277,17930125.973182578,2403331.8628401984,7955644.172597999,6975768.7264618,2142020.2648977,669710.6245910004,10073584.482953306,1410451.35611,4712825.327799999,4643055.916816599
2019-11-01,68007.02410306798,24292.155270691386,68007024.10306999,66517517.65771999,1489506.4453500002,68007024.10306999,22778689.40904,16552810.615369001,26457443.817990992,2218080.2606699998,68007024.10306999,46129982.322138,8814965.32754,17284375.40277,2336650.3919399995,7577211.79923,7091011.575757998,2346679.7338199997,679088.0910799999,10246485.920729998,1572523.6138900002,4829969.163179999,5228063.08313
2019-12-01,83596.723928402,29171.91586678604,83596723.92840001,82318260.31458001,1278463.61382,83596723.92840001,27978493.589890003,21154373.45807001,31601858.204510003,2861998.675929999,83596723.92840001,57709940.330312006,13297536.80611,20763288.88036,2984469.1526200017,8041317.913560001,8902918.145501997,2837702.5202199994,882706.9119399999,11314503.145449998,2197595.46859,4638017.9133,7736667.070750002
2020-01-01,70207.35725773302,23502.98727255455,70207357.25774,69166474.597,1040882.66074,70207357.25774,25136072.766211014,16451232.151770407,26273933.151568897,2346119.1881899997,70207357.25774,47550424.168643005,8725412.25448,17477045.34362,2512572.1476000007,7663780.968060001,7744428.162842999,2684096.8862600005,743088.40578,11065433.219479999,1775180.1644500005,3768285.2241500006,6048034.481009999
2020-02-01,72568.22449666398,23724.910606726644,72568224.49665998,71587965.98192997,980258.5147299999,72568224.49665998,24003447.934620023,18697772.271925,27211296.645479996,2655707.6446300005,72568224.49665998,50337263.80450399,8875892.946570002,18707797.61217,2643286.4226400005,8225875.214929998,8337077.6277939975,2777790.8546999996,769543.1257000001,10864903.963970002,1867271.73628,3407084.6448999997,6091700.34701
2020-03-01,85894.51085762001,27031.499077792127,85894510.85761996,84291355.28222996,1603155.5753900001,85894510.85761996,26560792.58860198,22476759.87560651,33693187.27957102,3163771.11384,85894510.85761996,61513898.05549,8283023.587039999,26162347.27317001,2952929.9774699993,10632845.300959997,9529777.47661,3247254.9870900004,705719.45315,14387195.083680004,1048213.0682100003,3460491.4886700013,5484713.16157
2020-04-01,75100.04562456402,23169.011076930907,75100045.62456001,71889403.69554001,3210641.9290200006,75100045.62456001,22283726.18655802,20887915.55741701,28557641.268455002,3370762.61213,75100045.62456001,54978031.02969999,7036986.30362,23493618.018269997,2722476.4722599997,9594791.32408,8687365.35178,2980282.956780001,462510.60290999996,10785972.11005,1070902.2456599998,3758966.325030001,4506173.914124
2020-05-01,78682.45599234302,24037.957260787793,78682455.99234,75054539.19776,3627916.7945800005,78682455.99234,24936865.487989996,19729990.493950006,29812159.921050005,4203440.08935,78682455.99234,54354796.71009201,7435071.412509998,22849530.255619995,2587423.5225110003,9524132.483035,8693170.919650003,2770586.6792580006,494881.43750800006,11160175.527740002,2199183.047351,5705564.2765500005,5262736.43061
2020-06-01,78329.56957065599,23477.274635124646,78329569.57065997,74651563.92758997,3678005.64307,78329569.57065997,23397492.43154999,20584369.986029986,29477354.034560002,4870353.118519999,78329569.57065997,53764809.134457,7839012.06604,22600460.553865,2512287.8224469996,9315145.835092999,8396198.242292002,2609807.2276569996,491897.387063,10828710.38113,2556692.422542,5726208.938220001,5453148.694306999
2020-07-01,81240.04867571995,23819.35399945996,81240048.67571998,76278740.55664998,4961308.11907,81240048.67571998,24959888.84754301,22151012.133882407,29751303.941599995,4377843.75269,81240048.67571998,55440975.03926999,8047195.601029998,23377294.847999997,2629588.18063,9672281.367829997,8484448.91379,2711497.9695299994,518668.1584600001,11217840.77417,2502346.4715000005,6125271.7259,5953614.664879999
2020-08-01,80504.99450136004,22978.406498095283,80504994.50136003,76326776.01520003,4178218.48616,80504994.50136003,24884874.09789999,21185631.961619996,29845665.308030006,4588823.1338100005,80504994.50136003,55593658.83806,8259559.410590003,22871541.48625,2681695.771409999,9759514.52059,8628243.697600001,2840817.1828900008,552286.76873,11367194.304329999,1651385.3661399994,5086197.002540001,6806558.990289998
2020-09-01,77130.88301568996,21648.092339959643,77130883.01568998,73186523.82029998,3944359.19539,77130883.01568998,24270528.644053,20646957.921380606,27800987.215989992,4412409.234270002,77130883.01568998,54044812.28773001,8160208.18828,21995834.897170004,2571058.1667399993,9421760.378579998,8417993.077300001,2930092.8111500004,547864.7685100002,11091216.66196,1600037.3174999994,4777422.322749998,5617394.425750001
2020-10-01,89308.40864670409,24128.64576757908,89308408.64670996,84706730.34162997,4601678.305080001,89308408.64670996,27347984.79490398,23549523.241516206,33421571.811718997,4989328.798569999,89308408.64670996,60265013.8686141,9899464.99035,23752428.558760002,2817757.135030001,10232731.988909999,9434285.357997999,3507155.7355961003,621190.1019700002,12450648.76186,1963132.4408200004,8081992.94457,6547620.630840002
