indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2017-01-01,27858.872082890004,27477.307666370554,27858872.08289,27591730.12689,267141.956,27858872.08289,10230100.130314,6864575.384024798,9047205.493406398,1716991.0731449006,27858872.08289,18043789.15975,3514467.39793,6705475.31777,945906.3067999998,2880656.16907,2606192.941830001,1050313.6381999997,340777.38815,4397543.670589998,772371.8476499998,1838507.09553,2806660.309370001
2017-02-01,25994.200168069103,25223.428860347456,25994200.16707,25749179.39807,245020.769,25994200.16707,9719067.340596005,6438494.010723001,8309150.301222395,1527488.5175299996,25994200.16707,17656879.0774891,3344456.930740001,6576624.802559999,925618.6147200001,2855639.899579999,2600083.5910391,1026166.5437700001,328288.69508000003,4053283.7708199993,672290.5165300001,1257661.9026,2354084.90063
2017-03-01,27780.00652224732,26334.26363967878,27780006.52225002,27472228.718250018,307777.804,27780006.52225002,10244442.508284997,6908522.962076997,8845010.493617997,1782030.55727,27780006.52225002,19186248.0527303,3290739.32368,7437264.1736,1016147.6642400002,3188259.1690900004,2824976.7257703007,1075525.84159,353335.15476000006,4354197.61058,667696.66531,1305674.91677,2266189.276857
2017-04-01,29134.272220610008,27045.88446262117,29134272.21961001,28827479.48661001,306792.733,29134272.21961001,10312632.366428997,7454251.799721999,9458166.681812003,1909221.3736467,29134272.21961001,20257135.09719,3253288.2368399994,8211244.092969999,1132396.2324399997,3257140.159269999,3006158.7602200005,1037213.1617099998,359694.45373999997,4355706.645570001,838948.24575,1535726.3448300005,2146755.88727
2017-05-01,27969.00467693989,25631.863991881684,27969004.676939994,27569311.414939996,399693.262,27969004.676939994,10147613.34208,6735747.319130901,9220929.862112993,1864714.1566170002,27969004.676939994,18904574.403351594,2869437.4106681994,7651058.083627701,1033081.8497094003,3232635.767159099,2799142.1231426005,982651.16055459,336568.00849000004,4206101.605108699,915895.1498100001,1824462.0359999996,2117971.4826696
2017-06-01,29132.712745602,26365.38706384802,29132712.7446,28763865.4186,368847.326,29132712.7446,10565493.495652994,7337456.597347399,9196110.462846007,2033652.1887504,29132712.7446,19601615.797832,3103589.5987800006,7911936.244780002,1083494.19323,3322049.563759999,2883228.762352,952203.3150000001,345114.1199299999,4277889.538619999,1001572.0021899999,1893542.06218,2358093.34478
2017-07-01,31182.302455592708,27819.352944627655,31182302.456590004,30815311.773590006,366990.683,31182302.456590004,10905912.736712996,8183012.3184557,10162899.880877996,1930477.5205436,31182302.456590004,20882660.9498715,3325398.6558069997,8482567.662069999,1153102.2144580001,3534096.704471,3013143.967621,994343.577518,380008.1679264999,4599798.33368,1026743.4961477999,1995091.1435834,2678008.5323099997
2017-08-01,31154.880941736905,27394.073951805774,31154880.943740003,30763355.89174,391525.052,31154880.943740003,11041625.274251003,7899351.016894999,10115176.88118,2098727.7714126995,31154880.943740003,20666687.818400696,3261204.283279001,8275620.179699998,1147970.0728000002,3604272.106411,2946950.8218284003,1060479.1620739999,370191.1923083,4585003.76395,786415.4840321998,1882133.8040039996,3234640.0713499985
2017-09-01,30521.506196270206,26404.252526903005,30521506.195270002,30135595.697270002,385910.498,30521506.195270002,10789170.332050998,7888243.176848,9795878.643451,2048214.0439202997,30521506.195270002,21025932.9445389,3488952.9684479996,8319868.332199998,1144159.4605890003,3640337.0378699987,2991425.024908801,1078616.457257,362573.6632661,4708171.56128,740572.716965,1673423.5498463,2373405.42364
2017-10-01,32445.98301393,27766.66317796161,32445983.013929997,31980223.912639998,465759.10129,32445983.013929997,11220307.426600007,8695476.803280002,11447457.179397,1082741.60465,32445983.013929997,21743902.234570004,3928861.0975500005,8323912.5433100015,1171282.63492,3698962.629959999,3091846.9128900003,1147860.2918,381176.12414,4889144.43834,870481.0824900001,2404158.3268900006,2538296.93164
2017-11-01,33628.98265709631,28425.301720641164,33628982.657100014,33122387.951610014,506594.70549,33628982.657100014,11657995.803109996,8324348.80678286,12553464.114272805,1093173.9329353003,33628982.657100014,21967173.399896298,4297207.188262001,8282231.901499999,1138077.3718599998,3641546.5569,3032406.663384299,1206025.3777199998,369678.34027000004,4988358.591749999,864815.7013300001,2729390.0808200003,3079244.8833
2017-12-01,40766.3221043007,34084.519433704845,40766322.1043,40320285.2796,446036.8247,40766322.1043,13710305.37311,11070098.736242607,14576008.2373072,1409909.7576381993,40766322.1043,26888567.2558907,6640857.415859999,9667850.14748,1346130.8131799996,3684165.0315000005,3674954.0998406997,1398334.6893299997,476275.0586999999,5239243.10839,1278355.01801,2857322.67385,4502834.048160002
2018-01-01,32479.20800557399,26736.7465460697,32479208.00556999,32103107.855989993,376100.1495799999,32479208.00556999,11705433.565544002,8391851.735510603,11256746.646177003,1125176.0583415003,32479208.00556999,21415403.097654004,4222218.4549199985,7836896.4136700025,1122224.4299800002,3431469.9459899995,3091349.8772140006,1318384.4937699998,392859.48211000004,4989430.3353,931581.0564099998,1999948.56584,3142844.9503700007
2018-02-01,31736.824552140013,25650.68873210639,31736824.55214,31357444.8335,379379.71864,31736824.55214,10720300.947148008,8607859.2800684,11364650.340209996,1044013.9847172999,31736824.55214,21328882.90137,4356546.198850001,7699395.38065,1101686.47128,3398477.22028,3136911.74234,1248469.28659,387396.60138,4725277.13508,905082.7940100002,1781739.8561899997,2995841.8654899998
2018-03-01,36531.291328669984,28846.727300021103,36531291.32867001,36055413.05464001,475878.27403,36531291.32867001,12955730.464524,9144000.036735995,13175374.632970996,1256186.1944464003,36531291.32867001,25205918.028519996,4597365.9620199995,9795952.073229998,1412393.8548500005,3996896.45261,3635088.65418,1329929.28416,438291.74747,5341668.284600002,964070.6810000002,2049351.7862999998,2970282.54825
2018-04-01,34113.74566680001,26429.52752809941,34113745.66680001,33622270.978180006,491474.68862000003,34113745.66680001,11685359.587512009,8980714.557799002,12193290.57827,1254380.9432200005,34113745.66680001,23327342.936460003,4218613.157120001,8945426.33082,1255968.4269100002,3762309.3645599997,3537305.15074,1205249.4992100003,402471.00710000005,5038590.881,953653.6989800003,2169127.4225799995,2625030.7277800012
2018-05-01,35133.14639127501,26430.503243249208,35133146.39128,34407391.593590006,725754.7976899999,35133146.39128,11925300.089559997,8668139.0539873,13241497.643993005,1298209.6037401005,35133146.39128,23066625.490795,3737570.4232599996,9171763.80268,1297093.1459100002,3872325.67532,3439295.801160001,1155946.7557050001,392629.88676000014,4862993.3251,1148685.7329600002,3356541.379099999,2698300.4633200006
2018-06-01,38338.20974565649,27465.90980889797,38338209.74565996,37744796.10936996,593413.63629,38338209.74565996,13517215.493030002,9513855.561389996,13623892.631039994,1683246.0602,38338209.74565996,25418022.4916865,4276518.981950001,10197523.387209998,1422314.27823,4138338.41736,3786047.2163765,1186724.0815500002,410556.12901000003,5109867.417750001,1426312.5995699996,3509590.7413399993,2874416.495310001
2018-07-01,39278.44996264218,27033.43803708506,39278449.96263997,38696650.90644997,581799.0561899999,39278449.96263997,14061294.336093998,10619025.064987898,13151343.173305005,1446787.3882568001,39278449.96263997,26789219.719002206,4329776.74553,10941910.27776,1535870.4263799996,4337129.471090002,3902397.0372172,1296379.3779809999,445756.383044,5496160.8176299995,1357253.23614,2294925.16437,3340891.025500001
2018-08-01,39491.90727419412,26267.256514020613,39491907.27419998,38852702.48435998,639204.78984,39491907.27419998,13783068.023829997,10164619.777058007,13997246.389675,1546973.0836399999,39491907.27419998,26996838.62034418,4440944.928766267,10804194.908603404,1505870.5487064333,4432915.801648892,4015209.7738825637,1359742.1032454548,437960.5554911628,5542025.025539445,964553.3923916543,2037255.936190952,3951234.299727921
2018-09-01,39925.54899754218,24310.777978264978,39925548.99754999,39313002.174979985,612546.82257,39925548.99754999,14307986.236589996,10187454.21635,14097447.208820008,1332661.33579,39925548.99754999,28191321.865455996,4915662.833759998,11194772.656069998,1509785.4356299997,4594864.59784,4200513.124326,1330111.03351,445612.1843200001,6102652.80399,853166.7950261998,1853671.9831099997,2924735.549960001
2018-10-01,43420.253822487975,25010.476704449233,43420253.82247999,42646486.70567999,773767.1168,43420253.82247999,15413337.429618,10495359.76456195,16008985.684051717,1502570.944243483,43420253.82247999,30065814.641687997,5367369.58585,11730986.055639997,1633042.6958599999,4894616.84174,4495750.370687999,1478760.3967900001,465288.6951200001,6486922.170949998,1010425.31317,2543612.9365500007,3313478.76013
2018-11-01,44849.44600603299,24891.71263312131,44849446.00603998,44076960.79194998,772485.21409,44849446.00603998,15412653.112490004,11132996.566479996,16773555.452833004,1530240.87424,44849446.00603998,30971868.835442994,5999482.30463,11863636.204099998,1623972.48984,4918020.845369999,4504157.019553,1590214.27644,472385.6955100001,6809307.630779999,1023726.6606099999,2437736.3168,3606806.5624000006
2018-12-01,57203.95586361999,31136.131957050453,57203955.86361999,56452356.42238999,751599.44123,57203955.86361999,19372979.314990014,16252211.763499994,19596671.428900015,1982093.35623,57203955.86361999,38897886.82512,9591843.12996,14277710.694189997,1987411.8307699997,5209569.967880001,5446438.43636,1782265.95895,602646.8070100001,7737390.299400001,1732097.9632399997,2850608.699660001,5985972.076199999
2019-01-01,45433.623712055996,23888.726073338843,45433623.71206,44740575.241629995,693048.47043,45433623.71206,16005633.827199997,11687681.667650005,16222411.460373,1517896.7568399997,45433623.71206,30532173.730396003,5940722.932500001,11509132.278580002,1602588.7262000002,4824152.72738,4540700.406095999,1622205.3741,492671.28554,7273538.2786300015,1296604.2484699998,2193855.6931000003,4137451.7614600006
2019-02-01,44592.14489534219,22542.04994183623,44592144.895340025,43914187.05556002,677957.8397799999,44592144.895340025,15466783.51002,12330583.273768004,15330194.010651998,1464584.1009,44592144.895340025,30680257.786579996,5900970.590899999,11400304.63475,1585634.2492300004,4837064.58602,4861296.852190001,1607641.3985300001,487345.4749599999,6902733.488779999,1078456.14302,2065592.4267400005,3865105.0502222204
2019-03-01,51122.164439349035,24672.671008753932,51122164.43935002,50404252.86786002,717911.5714899999,51122164.43935002,17751667.513229992,13725470.212986195,17971840.942595996,1673185.7705400004,51122164.43935002,35702574.360328995,5900211.057118999,13662360.221459998,1862912.8771699998,5779489.26857,6203764.3692499995,1733045.1574399997,560791.4093200001,7753154.732170002,1250658.5743299997,2294642.2698900006,4121134.502629999
2019-04-01,49672.33866310203,23094.910815532545,49672338.663100034,48990494.55912004,681844.1039799999,49672338.663100034,17114729.221209995,13188778.92122,17738050.705679,1630779.8149899996,49672338.663100034,35683519.014082,5436244.5252100015,14441241.467629997,1961437.20686,5801538.420260001,5906094.437901999,1597374.9774300004,539587.97879,7347059.82329,1179040.5136800003,2005702.6572300005,3457016.6548200003
2019-05-01,50829.266468780006,22872.162778530284,50829266.46878,49864819.59447,964446.87431,50829266.46878,17260208.206333995,13875917.888079997,18014390.90183,1678749.47254,50829266.46878,35639105.649040006,5257568.28648,14383995.956270002,1909893.2940999998,6270651.451080002,5747378.397349999,1525900.5855200002,543717.67824,7602136.04499,1504788.0079299998,2486484.8315199995,3596751.9352999995
